"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.149939121E0,-9.899999946E-2,2.060000002E-1,-5.839999914E-1,6.271307599E-1
1.154883738E0,-9.899999946E-2,1.640000045E-1,-5.630000234E-1,5.946982661E-1
1.159829897E0,-9.899999946E-2,1.640000045E-1,-5.630000234E-1,5.946982661E-1
1.164775734E0,-7.400000095E-2,1.749999970E-1,-5.490000248E-1,5.809492459E-1
1.169721667E0,-7.400000095E-2,1.749999970E-1,-5.490000248E-1,5.809492459E-1
1.174670355E0,-6.300000101E-2,1.669999957E-1,-5.500000119E-1,5.782369859E-1
1.179618222E0,-6.300000101E-2,1.669999957E-1,-5.500000119E-1,5.782369859E-1
1.184561740E0,-7.500000298E-2,1.809999943E-1,-6.029999852E-1,6.340307410E-1
1.189506533E0,-7.500000298E-2,1.809999943E-1,-6.029999852E-1,6.340307410E-1
1.194456148E0,-7.500000298E-2,2.090000063E-1,-5.370000005E-1,5.810981015E-1
1.199404361E0,-7.500000298E-2,2.090000063E-1,-5.370000005E-1,5.810981015E-1
1.204351425E0,-4.699999839E-2,2.199999988E-1,-5.839999914E-1,6.258314384E-1
1.209298826E0,-4.699999839E-2,2.199999988E-1,-5.839999914E-1,6.258314384E-1
1.214242616E0,-6.100000069E-2,1.770000011E-1,-5.730000138E-1,6.028092703E-1
1.219187455E0,-6.100000069E-2,1.770000011E-1,-5.730000138E-1,6.028092703E-1
1.224135455E0,-1.089999974E-1,1.790000051E-1,-6.290000081E-1,6.629954837E-1
1.229082530E0,-1.089999974E-1,1.790000051E-1,-6.290000081E-1,6.629954837E-1
1.234026529E0,-1.809999943E-1,1.630000025E-1,-5.899999738E-1,6.383024109E-1
1.238971440E0,-1.809999943E-1,1.630000025E-1,-5.899999738E-1,6.383024109E-1
1.243917266E0,-1.679999977E-1,1.780000031E-1,-5.860000253E-1,6.350622253E-1
1.248862823E0,-1.679999977E-1,1.780000031E-1,-5.860000253E-1,6.350622253E-1
1.253809427E0,-1.250000000E-1,1.879999936E-1,-5.759999752E-1,6.186638579E-1
1.258755766E0,-1.250000000E-1,1.879999936E-1,-5.759999752E-1,6.186638579E-1
1.263703149E0,-1.140000001E-1,1.560000032E-1,-5.590000153E-1,5.914499286E-1
1.268650228E0,-1.140000001E-1,1.560000032E-1,-5.590000153E-1,5.914499286E-1
1.273597494E0,-1.340000033E-1,1.729999930E-1,-5.730000138E-1,6.133628733E-1
1.278544699E0,-1.340000033E-1,1.729999930E-1,-5.730000138E-1,6.133628733E-1
1.283493871E0,-1.969999969E-1,1.949999928E-1,-5.839999914E-1,6.464441089E-1
1.288442468E0,-1.969999969E-1,1.949999928E-1,-5.839999914E-1,6.464441089E-1
1.293388587E0,-1.150000021E-1,1.949999928E-1,-5.659999847E-1,6.095949314E-1
1.298335416E0,-1.150000021E-1,1.949999928E-1,-5.659999847E-1,6.095949314E-1
1.303282400E0,-1.250000000E-1,1.599999964E-1,-5.429999828E-1,5.797188803E-1
1.308229339E0,-1.250000000E-1,1.599999964E-1,-5.429999828E-1,5.797188803E-1
1.313174959E0,-1.389999986E-1,1.519999951E-1,-5.180000067E-1,5.574486569E-1
1.318120994E0,-1.389999986E-1,1.519999951E-1,-5.180000067E-1,5.574486569E-1
1.323069510E0,-1.330000013E-1,1.480000019E-1,-5.329999924E-1,5.689305694E-1
1.328017299E0,-1.330000013E-1,1.480000019E-1,-5.329999924E-1,5.689305694E-1
1.332964258E0,-1.120000035E-1,1.620000005E-1,-5.609999895E-1,5.945662193E-1
1.337911427E0,-1.120000035E-1,1.620000005E-1,-5.609999895E-1,5.945662193E-1
1.342859026E0,-6.499999762E-2,1.620000005E-1,-5.630000234E-1,5.894387383E-1
1.347806501E0,-6.499999762E-2,1.620000005E-1,-5.630000234E-1,5.894387383E-1
