"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.277466213E0,9.000000358E-2,3.299999982E-2,-5.609999895E-1,5.691309066E-1
1.282412781E0,3.799999878E-2,-6.000000052E-3,-5.490000248E-1,5.503462793E-1
1.287359526E0,3.799999878E-2,-6.000000052E-3,-5.490000248E-1,5.503462793E-1
1.292304677E0,2.800000086E-2,2.300000004E-2,-5.680000186E-1,5.691546549E-1
1.297250296E0,2.800000086E-2,2.300000004E-2,-5.680000186E-1,5.691546549E-1
1.302197223E0,5.400000140E-2,4.899999872E-2,-6.090000272E-1,6.133498456E-1
1.307143794E0,5.400000140E-2,4.899999872E-2,-6.090000272E-1,6.133498456E-1
1.312093256E0,3.700000048E-2,7.400000095E-2,-6.290000081E-1,6.344178516E-1
1.317041871E0,3.700000048E-2,7.400000095E-2,-6.290000081E-1,6.344178516E-1
1.321985630E0,5.299999937E-2,2.899999917E-2,-6.019999981E-1,6.050239645E-1
1.326930805E0,5.299999937E-2,2.899999917E-2,-6.019999981E-1,6.050239645E-1
1.331877170E0,4.100000113E-2,-9.999999776E-3,-6.079999804E-1,6.094628588E-1
1.336823187E0,4.100000113E-2,-9.999999776E-3,-6.079999804E-1,6.094628588E-1
1.341771187E0,7.800000161E-2,1.200000010E-2,-5.780000091E-1,5.833626751E-1
1.346718592E0,7.800000161E-2,1.200000010E-2,-5.780000091E-1,5.833626751E-1
1.351666040E0,5.900000036E-2,4.000000190E-3,-5.350000262E-1,5.382583284E-1
1.356613525E0,5.900000036E-2,4.000000190E-3,-5.350000262E-1,5.382583284E-1
1.361558234E0,8.299999684E-2,4.600000009E-2,-5.720000267E-1,5.798181008E-1
1.366503757E0,8.299999684E-2,4.600000009E-2,-5.720000267E-1,5.798181008E-1
1.371447842E0,8.200000226E-2,5.700000003E-2,-5.770000219E-1,5.855783685E-1
1.376392359E0,8.200000226E-2,5.700000003E-2,-5.770000219E-1,5.855783685E-1
1.381340730E0,1.650000066E-1,6.000000052E-3,-5.220000148E-1,5.474897420E-1
1.386287973E0,1.650000066E-1,6.000000052E-3,-5.220000148E-1,5.474897420E-1
1.391238694E0,1.350000054E-1,-1.499999966E-2,-4.869999886E-1,5.055877672E-1
1.396188381E0,1.350000054E-1,-1.499999966E-2,-4.869999886E-1,5.055877672E-1
1.401136047E0,1.059999987E-1,-3.000000026E-3,-5.180000067E-1,5.287428549E-1
1.406084306E0,1.059999987E-1,-3.000000026E-3,-5.180000067E-1,5.287428549E-1
1.411029897E0,1.070000008E-1,4.999999888E-3,-5.000000000E-1,5.113452847E-1
1.415976286E0,1.070000008E-1,4.999999888E-3,-5.000000000E-1,5.113452847E-1
1.420921011E0,1.340000033E-1,-2.199999988E-2,-4.810000062E-1,4.998009672E-1
1.425866218E0,1.340000033E-1,-2.199999988E-2,-4.810000062E-1,4.998009672E-1
1.430814290E0,1.469999999E-1,-4.199999943E-2,-4.939999878E-1,5.171160294E-1
1.435761523E0,1.469999999E-1,-4.199999943E-2,-4.939999878E-1,5.171160294E-1
1.440705887E0,1.739999950E-1,4.800000042E-2,-4.250000119E-1,4.617412787E-1
1.445651112E0,1.739999950E-1,4.800000042E-2,-4.250000119E-1,4.617412787E-1
1.450595442E0,1.749999970E-1,7.500000298E-2,-3.799999952E-1,4.250294058E-1
1.455540035E0,1.749999970E-1,7.500000298E-2,-3.799999952E-1,4.250294058E-1
1.460483191E0,1.620000005E-1,5.799999833E-2,-4.309999943E-1,4.640786518E-1
1.465426752E0,1.620000005E-1,5.799999833E-2,-4.309999943E-1,4.640786518E-1
1.470370096E0,1.379999965E-1,3.200000152E-2,-4.480000138E-1,4.698638223E-1
1.475313511E0,1.379999965E-1,3.200000152E-2,-4.480000138E-1,4.698638223E-1
1.480261801E0,1.389999986E-1,5.799999833E-2,-4.370000064E-1,4.622272223E-1
1.485208664E0,1.389999986E-1,5.799999833E-2,-4.370000064E-1,4.622272223E-1
1.490157169E0,1.550000012E-1,4.100000113E-2,-4.810000062E-1,5.070177575E-1
1.495105198E0,1.550000012E-1,4.100000113E-2,-4.810000062E-1,5.070177575E-1
1.500049769E0,1.550000012E-1,4.100000113E-2,-4.810000062E-1,5.070177575E-1
1.504995354E0,1.550000012E-1,4.100000113E-2,-4.810000062E-1,5.070177575E-1
